Algorithm,Time (s),CO2 Emission (kg),Nodes,Repetition
Dijkstra com Min-Heap,28.731663703918457,4.1203600730923005e-05,5000,12
NetworkX Dijkstra,60.97125458717346,8.743263701207683e-05,5000,12
Dijkstra Clássico,37.6721408367157,5.4025958790038126e-05,5000,13
Dijkstra com Min-Heap,28.790011405944824,4.128726175128649e-05,5000,13
NetworkX Dijkstra,61.537168741226196,8.825394275099372e-05,5000,13
Dijkstra Clássico,38.4882972240448,5.519656828386048e-05,5000,14
Dijkstra com Min-Heap,29.79262661933899,4.2730757782467275e-05,5000,14
NetworkX Dijkstra,61.571144580841064,8.829297760252268e-05,5000,14
Dijkstra Clássico,37.557209968566895,5.38585131357103e-05,5000,15
Dijkstra com Min-Heap,28.971637725830078,4.154769908422896e-05,5000,15
NetworkX Dijkstra,62.713407039642334,8.993536912074664e-05,5000,15
Dijkstra Clássico,37.65949106216431,5.4002270855764354e-05,5000,16
Dijkstra com Min-Heap,29.40375304222107,4.216880630473539e-05,5000,16
NetworkX Dijkstra,62.661242961883545,8.985215610762255e-05,5000,16
Dijkstra Clássico,37.49457240104675,5.377295543134313e-05,5000,17
Dijkstra com Min-Heap,29.169345378875732,4.183678070940885e-05,5000,17
NetworkX Dijkstra,63.177903175354004,9.060444949632864e-05,5000,17
Dijkstra Clássico,37.37638068199158,5.360332707995216e-05,5000,18
Dijkstra com Min-Heap,28.862047910690308,4.1390389400160854e-05,5000,18
NetworkX Dijkstra,61.61806678771973,8.83532718221505e-05,5000,18
Dijkstra Clássico,37.49721169471741,5.377518248273629e-05,5000,19
Dijkstra com Min-Heap,29.58574914932251,4.243411625156761e-05,5000,19
NetworkX Dijkstra,61.47699213027954,8.815652905234775e-05,5000,19
Dijkstra Clássico,37.47837948799133,5.374243230553617e-05,5000,20
Dijkstra com Min-Heap,28.84748363494873,4.137511163698506e-05,5000,20
NetworkX Dijkstra,61.35988688468933,8.79851250220837e-05,5000,20
